Attribute Reg ID,Physical Attribute Name,Logical Attribute Name,Description,Dataset Reg ID,Sequence Number,DataType,Length Precision,Scale,Format
,ARM_cap_structure,ARM cap structure,"For an adjustable-rate mortgage loan, a numeric string that explains the interest rate caps on the ARM. The first number is the Initial Interest Rate Cap Up Percent (i.e., the maximum percentage points the interest rate can adjust upward at the initial rate change date). The second number is the Periodic Interest Rate Cap Up Percent (i.e., the maximum percentage points the interest rate can adjust upward at each interest rate change date after the initial interest rate change date). The third number is the Lifetime Interest Rate Cap Up Percent (i.e., the maximum percentage points that the interest rate can adjust upward over the life of the loan relative to the initial interest rate).",DSET000114,95,ALPHA-NUMERIC,,,
,ini_int_rate_cap_per,ini int rate cap per,"For an adjustable-rate mortgage loan, the maximum percentage points the interest rate can adjust upward at the initial interest rate change date. ",DSET000114,96,NUMERIC,,,
,per_int_rate_cap_per,per int rate cap per,"For an adjustable-rate mortgage loan, the maximum percentage points the interest rate can adjust upward at each interest rate change date after the initial interest rate change date. ",DSET000114,97,NUMERIC,,,
,lifetime_int_rate_cap_per,lifetime int rate cap per,"For an adjustable-rate mortgage loan, the maximum percentage points that the interest rate can adjust upward over the life of the loan relative to the initial interest rate.",DSET000114,98,NUMERIC,,,
,mrtg_margin,mrtg margin,"For an adjustable-rate mortgage loan, the rate that is added to the index value to establish the new interest rate (after applying all applicable caps and floors) accruing on the loan at each interest rate change date. ",DSET000114,99,NUMERIC,,,
,ARM_balloon_ind,ARM balloon ind,"For an adjustable-rate mortgage loan, a code that denotes if the loan has a balloon feature.",DSET000114,100,ALPHA-NUMERIC,,,
,ARM_plan_num,ARM plan num,"For an adjustable-rate mortgage loan, a code identifying the standardized plan under which the mortgage loan was delivered to Fannie Mae. The ARM plan outlines the characteristics of the adjustable-rate mortgage loan, including the ARM Index, the Initial Fixed-Rate Period, the Cap Structure, look-back days, assumability, and the option to convert to a fixed-rate mortgage loan..",DSET000114,101,NUMERIC,,,
,brwr_assist_plan,brwr assist plan,An indicator that denotes the type of assistance plan that the borrower is enrolled in that provides temporary mortgage payment relief or an opportunity for the borrower to cure a mortgage delinquency over a defined period.,DSET000114,102,ALPHA-NUMERIC,,,
,HLTV,HLTV,"An indicator that denotes if an eligible original reference loan is refinanced under Fannie Mae’s HLTV refinance option, which results in such mortgage loan remaining in the Reference Pool, as further defined in each individual CRT document, if applicable.",DSET000114,103,ALPHA-NUMERIC,,,
,deal_name,deal name,The title of the series issuance.,DSET000114,104,ALPHA-NUMERIC,,,
,repurchase_mkwh_proc_flag,repurchase mkwh proc flag,Indicates if Fannie Mae received proceeds under the terms of its representation and warranty arrangements for the repurchase of the mortgage loan. ,DSET000114,105,ALPHA-NUMERIC,,,
,alt_dlq_reso,alt dlq reso,"An indicator that denotes the loss mitigation solution designed to resolve delinquencies and help homeowners remain in their homes in accordance with the servicer’s contractual obligation, while allowing the loan to remain in the security.",DSET000114,106,ALPHA-NUMERIC,,,
,alt_dlq_reso_cnt,alt dlq reso cnt,The total number of Alternative Delinquency Resolutions as reported by the servicer for a specific loan.,DSET000114,107,NUMERIC,,,
,tot_deferral_amt,tot deferral amt,The total non-interest-bearing deferral amount related to one or more Alternative Delinquency Resolutions.,DSET000114,108,NUMERIC,,,
,pay_deferral_mod_ind,pay deferral mod ind,An indicator that denotes if a payment deferral is contributing to a modification event,DSET000114,109,ALPHA-NUMERIC,,,
,int_ubp,int ubp,The current actual outstanding UPB of the mortgage loan less any non-interest bearing UPB resulting from an eligible modification event.,DSET000114,110,NUMERIC,,,
